,labeling_function,sub_task,model,head,replicate,k,score,value
0,chexpert,No Finding,count,gbm,0,-1,auroc,0.5938515365378055
1,chexpert,No Finding,count,gbm,0,-1,auprc,0.4643399096500388
2,chexpert,No Finding,count,gbm,0,-1,brier,0.23453683417873009
3,chexpert,No Finding,count,gbm,0,1,auroc,0.5211445626187883
4,chexpert,No Finding,count,gbm,0,1,auprc,0.40297018610980556
5,chexpert,No Finding,count,gbm,0,1,brier,0.41506141102091965
6,chexpert,No Finding,count,gbm,1,1,auroc,0.5211445626187883
7,chexpert,No Finding,count,gbm,1,1,auprc,0.40297018610980556
8,chexpert,No Finding,count,gbm,1,1,brier,0.41506141102091965
9,chexpert,No Finding,count,gbm,2,1,auroc,0.4788554373812116
10,chexpert,No Finding,count,gbm,2,1,auprc,0.38275278604597174
11,chexpert,No Finding,count,gbm,2,1,brier,0.459493695917593
12,chexpert,No Finding,count,gbm,3,1,auroc,0.5026293237061094
13,chexpert,No Finding,count,gbm,3,1,auprc,0.3936015976747581
14,chexpert,No Finding,count,gbm,3,1,brier,0.4679395021376218
15,chexpert,No Finding,count,gbm,4,1,auroc,0.4973706762938906
16,chexpert,No Finding,count,gbm,4,1,auprc,0.39110061887299846
17,chexpert,No Finding,count,gbm,4,1,brier,0.4066156048008908
18,chexpert,No Finding,count,gbm,0,2,auroc,0.5211445626187883
19,chexpert,No Finding,count,gbm,0,2,auprc,0.40297018610980556
20,chexpert,No Finding,count,gbm,0,2,brier,0.41506141102092026
21,chexpert,No Finding,count,gbm,1,2,auroc,0.5098214049350094
22,chexpert,No Finding,count,gbm,1,2,auprc,0.39718937651588615
23,chexpert,No Finding,count,gbm,1,2,brier,0.39936322772064925
24,chexpert,No Finding,count,gbm,2,2,auroc,0.4679011763686609
25,chexpert,No Finding,count,gbm,2,2,auprc,0.37787690894883685
26,chexpert,No Finding,count,gbm,2,2,brier,0.5030079583990466
27,chexpert,No Finding,count,gbm,3,2,auroc,0.5058620948866887
28,chexpert,No Finding,count,gbm,3,2,auprc,0.39527336582728145
29,chexpert,No Finding,count,gbm,3,2,brier,0.3664980252557545
30,chexpert,No Finding,count,gbm,4,2,auroc,0.4973706762938906
31,chexpert,No Finding,count,gbm,4,2,auprc,0.39110061887299846
32,chexpert,No Finding,count,gbm,4,2,brier,0.4066156048008914
33,chexpert,No Finding,count,gbm,0,4,auroc,0.5048598331855623
34,chexpert,No Finding,count,gbm,0,4,auprc,0.3966886200642975
35,chexpert,No Finding,count,gbm,0,4,brier,0.39826160082238476
36,chexpert,No Finding,count,gbm,1,4,auroc,0.5156222254593583
37,chexpert,No Finding,count,gbm,1,4,auprc,0.40280954268012076
38,chexpert,No Finding,count,gbm,1,4,brier,0.3993632277206494
39,chexpert,No Finding,count,gbm,2,4,auroc,0.5071493283815532
40,chexpert,No Finding,count,gbm,2,4,auprc,0.3923456126930752
41,chexpert,No Finding,count,gbm,2,4,brier,0.48921115285953004
42,chexpert,No Finding,count,gbm,3,4,auroc,0.49818083331339613
43,chexpert,No Finding,count,gbm,3,4,auprc,0.39191391166039863
