,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
0,0,0.0,guo_icu,guo_icu,count,gbm,0,-1,auroc,0.7994575699132112
1,1,1.0,guo_icu,guo_icu,count,gbm,0,-1,auprc,0.2184827610629509
2,2,2.0,guo_icu,guo_icu,count,gbm,0,-1,brier,0.0386289955585173
3,3,3.0,guo_icu,guo_icu,count,gbm,0,1,auroc,0.5574282786885245
4,4,4.0,guo_icu,guo_icu,count,gbm,0,1,auprc,0.0473525352127918
5,5,5.0,guo_icu,guo_icu,count,gbm,0,1,brier,0.4213439832728294
6,6,6.0,guo_icu,guo_icu,count,gbm,1,1,auroc,0.4425717213114754
7,7,7.0,guo_icu,guo_icu,count,gbm,1,1,auprc,0.0381263279946589
8,8,8.0,guo_icu,guo_icu,count,gbm,1,1,brier,0.4532111236656833
9,9,9.0,guo_icu,guo_icu,count,gbm,2,1,auroc,0.5574282786885245
10,10,10.0,guo_icu,guo_icu,count,gbm,2,1,auprc,0.0473525352127918
11,11,11.0,guo_icu,guo_icu,count,gbm,2,1,brier,0.4213439832728294
12,12,12.0,guo_icu,guo_icu,count,gbm,3,1,auroc,0.5574282786885245
13,13,13.0,guo_icu,guo_icu,count,gbm,3,1,auprc,0.0473525352127918
14,14,14.0,guo_icu,guo_icu,count,gbm,3,1,brier,0.4213439832728294
15,15,15.0,guo_icu,guo_icu,count,gbm,4,1,auroc,0.5574282786885245
16,16,16.0,guo_icu,guo_icu,count,gbm,4,1,auprc,0.0473525352127918
17,17,17.0,guo_icu,guo_icu,count,gbm,4,1,brier,0.4213439832728294
18,18,18.0,guo_icu,guo_icu,count,gbm,0,2,auroc,0.5769226133076182
19,19,19.0,guo_icu,guo_icu,count,gbm,0,2,auprc,0.0500532399739762
20,20,20.0,guo_icu,guo_icu,count,gbm,0,2,brier,0.3610088641290266
21,21,21.0,guo_icu,guo_icu,count,gbm,1,2,auroc,0.4170413452266152
22,22,22.0,guo_icu,guo_icu,count,gbm,1,2,auprc,0.0364415338889051
23,23,23.0,guo_icu,guo_icu,count,gbm,1,2,brier,0.6728819447737566
24,24,24.0,guo_icu,guo_icu,count,gbm,2,2,auroc,0.5755484570877532
25,25,25.0,guo_icu,guo_icu,count,gbm,2,2,auprc,0.0519727439701809
26,26,26.0,guo_icu,guo_icu,count,gbm,2,2,brier,0.1952997340861865
27,27,27.0,guo_icu,guo_icu,count,gbm,3,2,auroc,0.567207087753134
28,28,28.0,guo_icu,guo_icu,count,gbm,3,2,auprc,0.0487816569926939
29,29,29.0,guo_icu,guo_icu,count,gbm,3,2,brier,0.3584594928975984
30,30,30.0,guo_icu,guo_icu,count,gbm,4,2,auroc,0.4765640067502411
31,31,31.0,guo_icu,guo_icu,count,gbm,4,2,auprc,0.0402553720491069
32,32,32.0,guo_icu,guo_icu,count,gbm,4,2,brier,0.2101710662695183
33,33,33.0,guo_icu,guo_icu,count,gbm,0,4,auroc,0.523439006750241
34,34,34.0,guo_icu,guo_icu,count,gbm,0,4,auprc,0.0430449023986669
35,35,35.0,guo_icu,guo_icu,count,gbm,0,4,brier,0.4367208033032705
36,36,36.0,guo_icu,guo_icu,count,gbm,1,4,auroc,0.5594533510125362
37,37,37.0,guo_icu,guo_icu,count,gbm,1,4,auprc,0.053311345844304
38,38,38.0,guo_icu,guo_icu,count,gbm,1,4,brier,0.6686859750693118
39,39,39.0,guo_icu,guo_icu,count,gbm,2,4,auroc,0.6378676470588235
40,40,40.0,guo_icu,guo_icu,count,gbm,2,4,auprc,0.0620325287224246
41,41,41.0,guo_icu,guo_icu,count,gbm,2,4,brier,0.2331154073523732
42,42,42.0,guo_icu,guo_icu,count,gbm,3,4,auroc,0.4949101976856316
