,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
0,0,0.0,0.0,0.0,guo_readmission,guo_readmission,count,gbm,0,-1,auroc,0.7409269450093711
1,1,1.0,1.0,1.0,guo_readmission,guo_readmission,count,gbm,0,-1,auprc,0.3268490354152872
2,2,2.0,2.0,2.0,guo_readmission,guo_readmission,count,gbm,0,-1,brier,0.1111902336295275
3,3,3.0,3.0,3.0,guo_readmission,guo_readmission,count,gbm,0,1,auroc,0.4785660166686605
4,4,4.0,4.0,4.0,guo_readmission,guo_readmission,count,gbm,0,1,auprc,0.1146282535847009
5,5,5.0,5.0,5.0,guo_readmission,guo_readmission,count,gbm,0,1,brier,0.4445922923280017
6,6,6.0,6.0,6.0,guo_readmission,guo_readmission,count,gbm,1,1,auroc,0.4785660166686605
7,7,7.0,7.0,7.0,guo_readmission,guo_readmission,count,gbm,1,1,auprc,0.1146282535847009
8,8,8.0,8.0,8.0,guo_readmission,guo_readmission,count,gbm,1,1,brier,0.4445922923280017
9,9,9.0,9.0,9.0,guo_readmission,guo_readmission,count,gbm,2,1,auroc,0.5214339833313394
10,10,10.0,10.0,10.0,guo_readmission,guo_readmission,count,gbm,2,1,auprc,0.123601135687113
11,11,11.0,11.0,11.0,guo_readmission,guo_readmission,count,gbm,2,1,brier,0.4299628146105111
12,12,12.0,12.0,12.0,guo_readmission,guo_readmission,count,gbm,3,1,auroc,0.5214339833313394
13,13,13.0,13.0,13.0,guo_readmission,guo_readmission,count,gbm,3,1,auprc,0.123601135687113
14,14,14.0,14.0,14.0,guo_readmission,guo_readmission,count,gbm,3,1,brier,0.4299628146105111
15,15,15.0,15.0,15.0,guo_readmission,guo_readmission,count,gbm,4,1,auroc,0.4906168999481596
16,16,16.0,16.0,16.0,guo_readmission,guo_readmission,count,gbm,4,1,auprc,0.1169614856021573
17,17,17.0,17.0,17.0,guo_readmission,guo_readmission,count,gbm,4,1,brier,0.2536182994213016
18,18,18.0,18.0,18.0,guo_readmission,guo_readmission,count,gbm,0,2,auroc,0.614212226342864
19,19,19.0,19.0,19.0,guo_readmission,guo_readmission,count,gbm,0,2,auprc,0.1623391458912347
20,20,20.0,20.0,20.0,guo_readmission,guo_readmission,count,gbm,0,2,brier,0.227522474303616
21,21,21.0,21.0,21.0,guo_readmission,guo_readmission,count,gbm,1,2,auroc,0.4785660166686605
22,22,22.0,22.0,22.0,guo_readmission,guo_readmission,count,gbm,1,2,auprc,0.1146282535847009
23,23,23.0,23.0,23.0,guo_readmission,guo_readmission,count,gbm,1,2,brier,0.4445922923280021
24,24,24.0,24.0,24.0,guo_readmission,guo_readmission,count,gbm,2,2,auroc,0.5595186824580293
25,25,25.0,25.0,25.0,guo_readmission,guo_readmission,count,gbm,2,2,auprc,0.1334896085457402
26,26,26.0,26.0,26.0,guo_readmission,guo_readmission,count,gbm,2,2,brier,0.4683157697077165
27,27,27.0,27.0,27.0,guo_readmission,guo_readmission,count,gbm,3,2,auroc,0.5383439007855804
28,28,28.0,28.0,28.0,guo_readmission,guo_readmission,count,gbm,3,2,auprc,0.1337059749879663
29,29,29.0,29.0,29.0,guo_readmission,guo_readmission,count,gbm,3,2,brier,0.1452810860539397
30,30,30.0,30.0,30.0,guo_readmission,guo_readmission,count,gbm,4,2,auroc,0.5079604817163138
31,31,31.0,31.0,31.0,guo_readmission,guo_readmission,count,gbm,4,2,auprc,0.1204672986719291
32,32,32.0,32.0,32.0,guo_readmission,guo_readmission,count,gbm,4,2,brier,0.717016890905055
33,33,33.0,33.0,33.0,guo_readmission,guo_readmission,count,gbm,0,4,auroc,0.5313384774893328
34,34,34.0,34.0,34.0,guo_readmission,guo_readmission,count,gbm,0,4,auprc,0.130039742562366
35,35,35.0,35.0,35.0,guo_readmission,guo_readmission,count,gbm,0,4,brier,0.521298202522412
36,36,36.0,36.0,36.0,guo_readmission,guo_readmission,count,gbm,1,4,auroc,0.5209026199306137
37,37,37.0,37.0,37.0,guo_readmission,guo_readmission,count,gbm,1,4,auprc,0.1288678612726926
38,38,38.0,38.0,38.0,guo_readmission,guo_readmission,count,gbm,1,4,brier,0.3097638625532926
39,39,39.0,39.0,39.0,guo_readmission,guo_readmission,count,gbm,2,4,auroc,0.5280187023966185
40,40,40.0,40.0,40.0,guo_readmission,guo_readmission,count,gbm,2,4,auprc,0.1255415145626227
41,41,41.0,41.0,41.0,guo_readmission,guo_readmission,count,gbm,2,4,brier,0.490854753096703
42,42,42.0,42.0,42.0,guo_readmission,guo_readmission,count,gbm,3,4,auroc,0.6320492881923676
43,43,43.0,43.0,43.0,guo_readmission,guo_readmission,count,gbm,3,4,auprc,0.1633044698554848
44,44,44.0,44.0,44.0,guo_readmission,guo_readmission,count,gbm,3,4,brier,0.2769463855113544
45,45,45.0,45.0,45.0,guo_readmission,guo_readmission,count,gbm,4,4,auroc,0.5072855604737408
46,46,46.0,46.0,46.0,guo_readmission,guo_readmission,count,gbm,4,4,auprc,0.1237883209961397
47,47,47.0,47.0,47.0,guo_readmission,guo_readmission,count,gbm,4,4,brier,0.3967499462789118
48,48,48.0,48.0,48.0,guo_readmission,guo_readmission,count,gbm,0,8,auroc,0.5898243410296287
49,49,49.0,49.0,49.0,guo_readmission,guo_readmission,count,gbm,0,8,auprc,0.1946517924668186
50,50,50.0,50.0,50.0,guo_readmission,guo_readmission,count,gbm,0,8,brier,0.4780958908107647
51,51,51.0,51.0,51.0,guo_readmission,guo_readmission,count,gbm,1,8,auroc,0.6328209115922957
52,52,52.0,52.0,52.0,guo_readmission,guo_readmission,count,gbm,1,8,auprc,0.2050964005366883
53,53,53.0,53.0,53.0,guo_readmission,guo_readmission,count,gbm,1,8,brier,0.4324966811944308
54,54,54.0,54.0,54.0,guo_readmission,guo_readmission,count,gbm,2,8,auroc,0.5502063643976552
55,55,55.0,55.0,55.0,guo_readmission,guo_readmission,count,gbm,2,8,auprc,0.1442887791702242
56,56,56.0,56.0,56.0,guo_readmission,guo_readmission,count,gbm,2,8,brier,0.5901932228443515
57,57,57.0,57.0,57.0,guo_readmission,guo_readmission,count,gbm,3,8,auroc,0.6328617857000439
58,58,58.0,58.0,58.0,guo_readmission,guo_readmission,count,gbm,3,8,auprc,0.1651238511810484
59,59,59.0,59.0,59.0,guo_readmission,guo_readmission,count,gbm,3,8,brier,0.3520707305471165
60,60,60.0,60.0,60.0,guo_readmission,guo_readmission,count,gbm,4,8,auroc,0.700947082984408
61,61,61.0,61.0,61.0,guo_readmission,guo_readmission,count,gbm,4,8,auprc,0.2339781283902858
62,62,62.0,62.0,62.0,guo_readmission,guo_readmission,count,gbm,4,8,brier,0.2323649458201498
63,63,63.0,63.0,63.0,guo_readmission,guo_readmission,count,gbm,0,12,auroc,0.5218078318778163
64,64,64.0,64.0,64.0,guo_readmission,guo_readmission,count,gbm,0,12,auprc,0.1286846107781159
65,65,65.0,65.0,65.0,guo_readmission,guo_readmission,count,gbm,0,12,brier,0.4898462713969557
66,66,66.0,66.0,66.0,guo_readmission,guo_readmission,count,gbm,1,12,auroc,0.5835416915899031
67,67,67.0,67.0,67.0,guo_readmission,guo_readmission,count,gbm,1,12,auprc,0.1580678477190008
68,68,68.0,68.0,68.0,guo_readmission,guo_readmission,count,gbm,1,12,brier,0.4579685505650426
69,69,69.0,69.0,69.0,guo_readmission,guo_readmission,count,gbm,2,12,auroc,0.5660336164612991
70,70,70.0,70.0,70.0,guo_readmission,guo_readmission,count,gbm,2,12,auprc,0.1474697492484962
71,71,71.0,71.0,71.0,guo_readmission,guo_readmission,count,gbm,2,12,brier,0.3155417499854646
72,72,72.0,72.0,72.0,guo_readmission,guo_readmission,count,gbm,3,12,auroc,0.625414722654225
73,73,73.0,73.0,73.0,guo_readmission,guo_readmission,count,gbm,3,12,auprc,0.1870080541255232
74,74,74.0,74.0,74.0,guo_readmission,guo_readmission,count,gbm,3,12,brier,0.4477751282111881
75,75,75.0,75.0,75.0,guo_readmission,guo_readmission,count,gbm,4,12,auroc,0.7002711648123779
