,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
0,0.0,0.0,0.0,lab_anemia,lab_anemia,count,gbm,0,-1,auroc,0.8136921147005429
1,1.0,1.0,1.0,lab_anemia,lab_anemia,count,gbm,0,-1,auprc,0.899468184839245
2,2.0,2.0,2.0,lab_anemia,lab_anemia,count,gbm,0,-1,brier,0.1559046592846442
3,3.0,3.0,3.0,lab_anemia,lab_anemia,count,gbm,0,1,auroc,0.4589618045263395
4,4.0,4.0,4.0,lab_anemia,lab_anemia,count,gbm,0,1,auprc,0.67032304409741
5,5.0,5.0,5.0,lab_anemia,lab_anemia,count,gbm,0,1,brier,0.4080550980452555
6,6.0,6.0,6.0,lab_anemia,lab_anemia,count,gbm,1,1,auroc,0.4589618045263395
7,7.0,7.0,7.0,lab_anemia,lab_anemia,count,gbm,1,1,auprc,0.67032304409741
8,8.0,8.0,8.0,lab_anemia,lab_anemia,count,gbm,1,1,brier,0.4080550980452555
9,9.0,9.0,9.0,lab_anemia,lab_anemia,count,gbm,2,1,auroc,0.4835351011471416
10,10.0,10.0,10.0,lab_anemia,lab_anemia,count,gbm,2,1,auprc,0.6805390116282419
11,11.0,11.0,11.0,lab_anemia,lab_anemia,count,gbm,2,1,brier,0.5366428316145792
12,12.0,12.0,12.0,lab_anemia,lab_anemia,count,gbm,3,1,auroc,0.5163432754659478
13,13.0,13.0,13.0,lab_anemia,lab_anemia,count,gbm,3,1,auprc,0.6952382286604637
14,14.0,14.0,14.0,lab_anemia,lab_anemia,count,gbm,3,1,brier,0.5617055333889704
15,15.0,15.0,15.0,lab_anemia,lab_anemia,count,gbm,4,1,auroc,0.5121289379187264
16,16.0,16.0,16.0,lab_anemia,lab_anemia,count,gbm,4,1,auprc,0.692589276256008
17,17.0,17.0,17.0,lab_anemia,lab_anemia,count,gbm,4,1,brier,0.4185772655954304
18,18.0,18.0,18.0,lab_anemia,lab_anemia,count,gbm,0,2,auroc,0.4854885974764273
19,19.0,19.0,19.0,lab_anemia,lab_anemia,count,gbm,0,2,auprc,0.6811373438113082
20,20.0,20.0,20.0,lab_anemia,lab_anemia,count,gbm,0,2,brier,0.3611443878357065
21,21.0,21.0,21.0,lab_anemia,lab_anemia,count,gbm,1,2,auroc,0.5117400533215419
22,22.0,22.0,22.0,lab_anemia,lab_anemia,count,gbm,1,2,auprc,0.6923949222505852
23,23.0,23.0,23.0,lab_anemia,lab_anemia,count,gbm,1,2,brier,0.3374360244588624
24,24.0,24.0,24.0,lab_anemia,lab_anemia,count,gbm,2,2,auroc,0.4998890940270091
25,25.0,25.0,25.0,lab_anemia,lab_anemia,count,gbm,2,2,auprc,0.6872535411190808
26,26.0,26.0,26.0,lab_anemia,lab_anemia,count,gbm,2,2,brier,0.5685516395743753
27,27.0,27.0,27.0,lab_anemia,lab_anemia,count,gbm,3,2,auroc,0.6127316548725814
28,28.0,28.0,28.0,lab_anemia,lab_anemia,count,gbm,3,2,auprc,0.7416359510310764
29,29.0,29.0,29.0,lab_anemia,lab_anemia,count,gbm,3,2,brier,0.3270924509830891
30,30.0,30.0,30.0,lab_anemia,lab_anemia,count,gbm,4,2,auroc,0.5121289379187264
31,31.0,31.0,31.0,lab_anemia,lab_anemia,count,gbm,4,2,auprc,0.692589276256008
32,32.0,32.0,32.0,lab_anemia,lab_anemia,count,gbm,4,2,brier,0.418577265595431
33,33.0,33.0,33.0,lab_anemia,lab_anemia,count,gbm,0,4,auroc,0.5461523679190518
34,34.0,34.0,34.0,lab_anemia,lab_anemia,count,gbm,0,4,auprc,0.7123864724748336
35,35.0,35.0,35.0,lab_anemia,lab_anemia,count,gbm,0,4,brier,0.5331969136215176
36,36.0,36.0,36.0,lab_anemia,lab_anemia,count,gbm,1,4,auroc,0.5391294935320269
37,37.0,37.0,37.0,lab_anemia,lab_anemia,count,gbm,1,4,auprc,0.7106631004476557
38,38.0,38.0,38.0,lab_anemia,lab_anemia,count,gbm,1,4,brier,0.4122409922237637
39,39.0,39.0,39.0,lab_anemia,lab_anemia,count,gbm,2,4,auroc,0.5639557163060638
40,40.0,40.0,40.0,lab_anemia,lab_anemia,count,gbm,2,4,auprc,0.7174746618490628
41,41.0,41.0,41.0,lab_anemia,lab_anemia,count,gbm,2,4,brier,0.3387159486587422
42,42.0,42.0,42.0,lab_anemia,lab_anemia,count,gbm,3,4,auroc,0.5525082339387205
43,43.0,43.0,43.0,lab_anemia,lab_anemia,count,gbm,3,4,auprc,0.7237315766616594
44,44.0,44.0,44.0,lab_anemia,lab_anemia,count,gbm,3,4,brier,0.4675864561792026
45,45.0,45.0,45.0,lab_anemia,lab_anemia,count,gbm,4,4,auroc,0.5579758203310168
46,46.0,46.0,46.0,lab_anemia,lab_anemia,count,gbm,4,4,auprc,0.7169147219100129
47,47.0,47.0,47.0,lab_anemia,lab_anemia,count,gbm,4,4,brier,0.3868619345495713
48,48.0,48.0,48.0,lab_anemia,lab_anemia,count,gbm,0,8,auroc,0.6309198058841079
49,49.0,49.0,49.0,lab_anemia,lab_anemia,count,gbm,0,8,auprc,0.7710785625673751
50,50.0,50.0,50.0,lab_anemia,lab_anemia,count,gbm,0,8,brier,0.3813350137870078
51,51.0,51.0,51.0,lab_anemia,lab_anemia,count,gbm,1,8,auroc,0.6178151884466003
52,52.0,52.0,52.0,lab_anemia,lab_anemia,count,gbm,1,8,auprc,0.7582074168825652
53,53.0,53.0,53.0,lab_anemia,lab_anemia,count,gbm,1,8,brier,0.4296954019965156
54,54.0,54.0,54.0,lab_anemia,lab_anemia,count,gbm,2,8,auroc,0.6269737827153704
55,55.0,55.0,55.0,lab_anemia,lab_anemia,count,gbm,2,8,auprc,0.7635036041789556
56,56.0,56.0,56.0,lab_anemia,lab_anemia,count,gbm,2,8,brier,0.4367337442654492
57,57.0,57.0,57.0,lab_anemia,lab_anemia,count,gbm,3,8,auroc,0.6453206264335315
58,58.0,58.0,58.0,lab_anemia,lab_anemia,count,gbm,3,8,auprc,0.7744833626118119
