,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
0,0.0,0.0,0.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,-1,auroc,0.6588721268915074
1,1.0,1.0,1.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,-1,auprc,0.437846167622666
2,2.0,2.0,2.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,-1,brier,0.1910156338896087
3,3.0,3.0,3.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,1,auroc,0.4997638054136439
4,4.0,4.0,4.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,1,auprc,0.2874547542821994
5,5.0,5.0,5.0,lab_hyponatremia,lab_hyponatremia,count,gbm,0,1,brier,0.4546838545162551
6,6.0,6.0,6.0,lab_hyponatremia,lab_hyponatremia,count,gbm,1,1,auroc,0.4996525105193378
7,7.0,7.0,7.0,lab_hyponatremia,lab_hyponatremia,count,gbm,1,1,auprc,0.2874091844543022
8,8.0,8.0,8.0,lab_hyponatremia,lab_hyponatremia,count,gbm,1,1,brier,0.5394039889148897
9,9.0,9.0,9.0,lab_hyponatremia,lab_hyponatremia,count,gbm,2,1,auroc,0.500236194586356
10,10.0,10.0,10.0,lab_hyponatremia,lab_hyponatremia,count,gbm,2,1,auprc,0.2876483192085264
11,11.0,11.0,11.0,lab_hyponatremia,lab_hyponatremia,count,gbm,2,1,brier,0.4198712524222575
12,12.0,12.0,12.0,lab_hyponatremia,lab_hyponatremia,count,gbm,3,1,auroc,0.4997638054136439
13,13.0,13.0,13.0,lab_hyponatremia,lab_hyponatremia,count,gbm,3,1,auprc,0.2874547542821994
14,14.0,14.0,14.0,lab_hyponatremia,lab_hyponatremia,count,gbm,3,1,brier,0.4546838545162551
15,15.0,15.0,15.0,lab_hyponatremia,lab_hyponatremia,count,gbm,4,1,auroc,0.4997638054136439
