,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
0,0,0.0,0.0,0.0,new_acutemi,new_acutemi,count,gbm,0,-1,auroc,0.7254352972488373
1,1,1.0,1.0,1.0,new_acutemi,new_acutemi,count,gbm,0,-1,auprc,0.1838493264846744
2,2,2.0,2.0,2.0,new_acutemi,new_acutemi,count,gbm,0,-1,brier,0.0639616142512203
3,3,3.0,3.0,3.0,new_acutemi,new_acutemi,count,gbm,0,1,auroc,0.4946892334846192
4,4,4.0,4.0,4.0,new_acutemi,new_acutemi,count,gbm,0,1,auprc,0.0671222730020332
5,5,5.0,5.0,5.0,new_acutemi,new_acutemi,count,gbm,0,1,brier,0.1184584250441156
6,6,6.0,6.0,6.0,new_acutemi,new_acutemi,count,gbm,1,1,auroc,0.5795196671709532
7,7,7.0,7.0,7.0,new_acutemi,new_acutemi,count,gbm,1,1,auprc,0.0808612430208394
8,8,8.0,8.0,8.0,new_acutemi,new_acutemi,count,gbm,1,1,brier,0.4024861871892953
9,9,9.0,9.0,9.0,new_acutemi,new_acutemi,count,gbm,2,1,auroc,0.4204803328290469
10,10,10.0,10.0,10.0,new_acutemi,new_acutemi,count,gbm,2,1,auprc,0.060507187147153
11,11,11.0,11.0,11.0,new_acutemi,new_acutemi,count,gbm,2,1,brier,0.4720689197492175
12,12,12.0,12.0,12.0,new_acutemi,new_acutemi,count,gbm,3,1,auroc,0.4410037401243906
13,13,13.0,13.0,13.0,new_acutemi,new_acutemi,count,gbm,3,1,auprc,0.0611985633614027
14,14,14.0,14.0,14.0,new_acutemi,new_acutemi,count,gbm,3,1,brier,0.7247641064141982
15,15,15.0,15.0,15.0,new_acutemi,new_acutemi,count,gbm,4,1,auroc,0.4204803328290469
16,16,16.0,16.0,16.0,new_acutemi,new_acutemi,count,gbm,4,1,auprc,0.060507187147153
17,17,17.0,17.0,17.0,new_acutemi,new_acutemi,count,gbm,4,1,brier,0.4720689197492175
18,18,18.0,18.0,18.0,new_acutemi,new_acutemi,count,gbm,0,2,auroc,0.5330202555051269
19,19,19.0,19.0,19.0,new_acutemi,new_acutemi,count,gbm,0,2,auprc,0.0746830959178101
20,20,20.0,20.0,20.0,new_acutemi,new_acutemi,count,gbm,0,2,brier,0.1241552569496064
21,21,21.0,21.0,21.0,new_acutemi,new_acutemi,count,gbm,1,2,auroc,0.5368496806185914
22,22,22.0,22.0,22.0,new_acutemi,new_acutemi,count,gbm,1,2,auprc,0.0737429570276533
23,23,23.0,23.0,23.0,new_acutemi,new_acutemi,count,gbm,1,2,brier,0.2271051478131172
24,24,24.0,24.0,24.0,new_acutemi,new_acutemi,count,gbm,2,2,auroc,0.5113254328458565
25,25,25.0,25.0,25.0,new_acutemi,new_acutemi,count,gbm,2,2,auprc,0.069162397667383
26,26,26.0,26.0,26.0,new_acutemi,new_acutemi,count,gbm,2,2,brier,0.7723733444815144
27,27,27.0,27.0,27.0,new_acutemi,new_acutemi,count,gbm,3,2,auroc,0.4410037401243906
28,28,28.0,28.0,28.0,new_acutemi,new_acutemi,count,gbm,3,2,auprc,0.0611985633614027
29,29,29.0,29.0,29.0,new_acutemi,new_acutemi,count,gbm,3,2,brier,0.7247641064141992
30,30,30.0,30.0,30.0,new_acutemi,new_acutemi,count,gbm,4,2,auroc,0.6157179778113968
31,31,31.0,31.0,31.0,new_acutemi,new_acutemi,count,gbm,4,2,auprc,0.0884478635492387
32,32,32.0,32.0,32.0,new_acutemi,new_acutemi,count,gbm,4,2,brier,0.4220181822938353
33,33,33.0,33.0,33.0,new_acutemi,new_acutemi,count,gbm,0,4,auroc,0.5762785762312994
34,34,34.0,34.0,34.0,new_acutemi,new_acutemi,count,gbm,0,4,auprc,0.0854373398148875
35,35,35.0,35.0,35.0,new_acutemi,new_acutemi,count,gbm,0,4,brier,0.3989744710112319
36,36,36.0,36.0,36.0,new_acutemi,new_acutemi,count,gbm,1,4,auroc,0.6234818877122206
37,37,37.0,37.0,37.0,new_acutemi,new_acutemi,count,gbm,1,4,auprc,0.0884592092850369
38,38,38.0,38.0,38.0,new_acutemi,new_acutemi,count,gbm,1,4,brier,0.4220181822938356
39,39,39.0,39.0,39.0,new_acutemi,new_acutemi,count,gbm,2,4,auroc,0.4866294055023252
40,40,40.0,40.0,40.0,new_acutemi,new_acutemi,count,gbm,2,4,auprc,0.0719281823247721
41,41,41.0,41.0,41.0,new_acutemi,new_acutemi,count,gbm,2,4,brier,0.2148976508727801
42,42,42.0,42.0,42.0,new_acutemi,new_acutemi,count,gbm,3,4,auroc,0.5136227377150221
43,43,43.0,43.0,43.0,new_acutemi,new_acutemi,count,gbm,3,4,auprc,0.0694403028770354
44,44,44.0,44.0,44.0,new_acutemi,new_acutemi,count,gbm,3,4,brier,0.6109149464775715
45,45,45.0,45.0,45.0,new_acutemi,new_acutemi,count,gbm,4,4,auroc,0.6280292205972993
46,46,46.0,46.0,46.0,new_acutemi,new_acutemi,count,gbm,4,4,auprc,0.0915890408088257
47,47,47.0,47.0,47.0,new_acutemi,new_acutemi,count,gbm,4,4,brier,0.4236458485525472
48,48,48.0,48.0,48.0,new_acutemi,new_acutemi,count,gbm,0,8,auroc,0.6327428979660447
49,49,49.0,49.0,49.0,new_acutemi,new_acutemi,count,gbm,0,8,auprc,0.1001197071685787
50,50,50.0,50.0,50.0,new_acutemi,new_acutemi,count,gbm,0,8,brier,0.3076015559833874
51,51,51.0,51.0,51.0,new_acutemi,new_acutemi,count,gbm,1,8,auroc,0.606511248389085
52,52,52.0,52.0,52.0,new_acutemi,new_acutemi,count,gbm,1,8,auprc,0.1020120486643709
53,53,53.0,53.0,53.0,new_acutemi,new_acutemi,count,gbm,1,8,brier,0.4710018640137494
54,54,54.0,54.0,54.0,new_acutemi,new_acutemi,count,gbm,2,8,auroc,0.585793480697036
55,55,55.0,55.0,55.0,new_acutemi,new_acutemi,count,gbm,2,8,auprc,0.0988690319121276
56,56,56.0,56.0,56.0,new_acutemi,new_acutemi,count,gbm,2,8,brier,0.3128936200955297
57,57,57.0,57.0,57.0,new_acutemi,new_acutemi,count,gbm,3,8,auroc,0.4675995965708521
58,58,58.0,58.0,58.0,new_acutemi,new_acutemi,count,gbm,3,8,auprc,0.0636459205902267
59,59,59.0,59.0,59.0,new_acutemi,new_acutemi,count,gbm,3,8,brier,0.5449069848265641
60,60,60.0,60.0,60.0,new_acutemi,new_acutemi,count,gbm,4,8,auroc,0.5199210651650137
61,61,61.0,61.0,61.0,new_acutemi,new_acutemi,count,gbm,4,8,auprc,0.070166512570215
62,62,62.0,62.0,62.0,new_acutemi,new_acutemi,count,gbm,4,8,brier,0.3556888477141403
63,63,63.0,63.0,63.0,new_acutemi,new_acutemi,count,gbm,0,12,auroc,0.6398326749593769
64,64,64.0,64.0,64.0,new_acutemi,new_acutemi,count,gbm,0,12,auprc,0.1128211891962829
65,65,65.0,65.0,65.0,new_acutemi,new_acutemi,count,gbm,0,12,brier,0.4979537385763842
66,66,66.0,66.0,66.0,new_acutemi,new_acutemi,count,gbm,1,12,auroc,0.6090694514484227
67,67,67.0,67.0,67.0,new_acutemi,new_acutemi,count,gbm,1,12,auprc,0.0855607892961956
68,68,68.0,68.0,68.0,new_acutemi,new_acutemi,count,gbm,1,12,brier,0.4839805130122758
69,69,69.0,69.0,69.0,new_acutemi,new_acutemi,count,gbm,2,12,auroc,0.6215575446853813
70,70,70.0,70.0,70.0,new_acutemi,new_acutemi,count,gbm,2,12,auprc,0.0950418669106686
71,71,71.0,71.0,71.0,new_acutemi,new_acutemi,count,gbm,2,12,brier,0.3171492561108987
72,72,72.0,72.0,72.0,new_acutemi,new_acutemi,count,gbm,3,12,auroc,0.4354846052557853
