,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
0,0.0,0.0,0.0,new_celiac,new_celiac,count,gbm,0,-1,auroc,0.7226585318361783
1,1.0,1.0,1.0,new_celiac,new_celiac,count,gbm,0,-1,auprc,0.0577490983523355
2,2.0,2.0,2.0,new_celiac,new_celiac,count,gbm,0,-1,brier,0.0485109213903382
3,3.0,3.0,3.0,new_celiac,new_celiac,count,gbm,0,1,auroc,0.3319162285541204
4,4.0,4.0,4.0,new_celiac,new_celiac,count,gbm,0,1,auprc,0.0075989404120771
5,5.0,5.0,5.0,new_celiac,new_celiac,count,gbm,0,1,brier,0.705266723024656
6,6.0,6.0,6.0,new_celiac,new_celiac,count,gbm,1,1,auroc,0.5866272906254733
7,7.0,7.0,7.0,new_celiac,new_celiac,count,gbm,1,1,auprc,0.0116351635163516
8,8.0,8.0,8.0,new_celiac,new_celiac,count,gbm,1,1,brier,0.4302662089169349
9,9.0,9.0,9.0,new_celiac,new_celiac,count,gbm,2,1,auroc,0.5712122195538823
10,10.0,10.0,10.0,new_celiac,new_celiac,count,gbm,2,1,auprc,0.0115684444349018
11,11.0,11.0,11.0,new_celiac,new_celiac,count,gbm,2,1,brier,0.2140830852203553
12,12.0,12.0,12.0,new_celiac,new_celiac,count,gbm,3,1,auroc,0.5866272906254733
13,13.0,13.0,13.0,new_celiac,new_celiac,count,gbm,3,1,auprc,0.0116351635163516
14,14.0,14.0,14.0,new_celiac,new_celiac,count,gbm,3,1,brier,0.4302662089169349
15,15.0,15.0,15.0,new_celiac,new_celiac,count,gbm,4,1,auroc,0.3319162285541204
16,16.0,16.0,16.0,new_celiac,new_celiac,count,gbm,4,1,auprc,0.0075989404120771
17,17.0,17.0,17.0,new_celiac,new_celiac,count,gbm,4,1,brier,0.705266723024656
18,18.0,18.0,18.0,new_celiac,new_celiac,count,gbm,0,2,auroc,0.4729560156638757
19,19.0,19.0,19.0,new_celiac,new_celiac,count,gbm,0,2,auprc,0.0089778608892109
20,20.0,20.0,20.0,new_celiac,new_celiac,count,gbm,0,2,brier,0.7060457613082483
21,21.0,21.0,21.0,new_celiac,new_celiac,count,gbm,1,2,auroc,0.5622877047229614
22,22.0,22.0,22.0,new_celiac,new_celiac,count,gbm,1,2,auprc,0.0107907719576052
23,23.0,23.0,23.0,new_celiac,new_celiac,count,gbm,1,2,brier,0.7146151824277523
24,24.0,24.0,24.0,new_celiac,new_celiac,count,gbm,2,2,auroc,0.4132753510309166
25,25.0,25.0,25.0,new_celiac,new_celiac,count,gbm,2,2,auprc,0.0085972306192464
26,26.0,26.0,26.0,new_celiac,new_celiac,count,gbm,2,2,brier,0.3231484449231345
27,27.0,27.0,27.0,new_celiac,new_celiac,count,gbm,3,2,auroc,0.5866272906254733
28,28.0,28.0,28.0,new_celiac,new_celiac,count,gbm,3,2,auprc,0.0116351635163516
29,29.0,29.0,29.0,new_celiac,new_celiac,count,gbm,3,2,brier,0.4302662089169354
30,30.0,30.0,30.0,new_celiac,new_celiac,count,gbm,4,2,auroc,0.4216589861751152
31,31.0,31.0,31.0,new_celiac,new_celiac,count,gbm,4,2,auprc,0.008245966566488
32,32.0,32.0,32.0,new_celiac,new_celiac,count,gbm,4,2,brier,0.7535670966073161
33,33.0,33.0,33.0,new_celiac,new_celiac,count,gbm,0,4,auroc,0.4112416434088401
34,34.0,34.0,34.0,new_celiac,new_celiac,count,gbm,0,4,auprc,0.0082221117457795
35,35.0,35.0,35.0,new_celiac,new_celiac,count,gbm,0,4,brier,0.4458469745887612
36,36.0,36.0,36.0,new_celiac,new_celiac,count,gbm,1,4,auroc,0.4500984401029835
37,37.0,37.0,37.0,new_celiac,new_celiac,count,gbm,1,4,auprc,0.0086339268962517
38,38.0,38.0,38.0,new_celiac,new_celiac,count,gbm,1,4,brier,0.3484671891398513
39,39.0,39.0,39.0,new_celiac,new_celiac,count,gbm,2,4,auroc,0.5748902014235953
40,40.0,40.0,40.0,new_celiac,new_celiac,count,gbm,2,4,auprc,0.0155967788013861
41,41.0,41.0,41.0,new_celiac,new_celiac,count,gbm,2,4,brier,0.1782473241751567
42,42.0,42.0,42.0,new_celiac,new_celiac,count,gbm,3,4,auroc,0.3957400315873736
43,43.0,43.0,43.0,new_celiac,new_celiac,count,gbm,3,4,auprc,0.0086858009652136
44,44.0,44.0,44.0,new_celiac,new_celiac,count,gbm,3,4,brier,0.432992842909505
45,45.0,45.0,45.0,new_celiac,new_celiac,count,gbm,4,4,auroc,0.4939313299149737
46,46.0,46.0,46.0,new_celiac,new_celiac,count,gbm,4,4,auprc,0.0097785333981207
47,47.0,47.0,47.0,new_celiac,new_celiac,count,gbm,4,4,brier,0.4044547881688087
48,48.0,48.0,48.0,new_celiac,new_celiac,count,gbm,0,8,auroc,0.4400705307111486
49,49.0,49.0,49.0,new_celiac,new_celiac,count,gbm,0,8,auprc,0.0087773870384818
50,50.0,50.0,50.0,new_celiac,new_celiac,count,gbm,0,8,brier,0.4302858335315753
51,51.0,51.0,51.0,new_celiac,new_celiac,count,gbm,1,8,auroc,0.2956772895437138
52,52.0,52.0,52.0,new_celiac,new_celiac,count,gbm,1,8,auprc,0.0543031754144676
53,53.0,53.0,53.0,new_celiac,new_celiac,count,gbm,1,8,brier,0.5436432374579371
54,54.0,54.0,54.0,new_celiac,new_celiac,count,gbm,2,8,auroc,0.5561000411068562
55,55.0,55.0,55.0,new_celiac,new_celiac,count,gbm,2,8,auprc,0.1631712979778821
56,56.0,56.0,56.0,new_celiac,new_celiac,count,gbm,2,8,brier,0.4661033842716282
57,57.0,57.0,57.0,new_celiac,new_celiac,count,gbm,3,8,auroc,0.5331991951710261
58,58.0,58.0,58.0,new_celiac,new_celiac,count,gbm,3,8,auprc,0.0207052343997618
59,59.0,59.0,59.0,new_celiac,new_celiac,count,gbm,3,8,brier,0.5731319566408182
60,60.0,60.0,60.0,new_celiac,new_celiac,count,gbm,4,8,auroc,0.5671880746846671
61,61.0,61.0,61.0,new_celiac,new_celiac,count,gbm,4,8,auprc,0.0132403742004726
62,62.0,62.0,62.0,new_celiac,new_celiac,count,gbm,4,8,brier,0.4020022059432306
63,63.0,63.0,63.0,new_celiac,new_celiac,count,gbm,0,12,auroc,0.4008783886112372
64,64.0,64.0,64.0,new_celiac,new_celiac,count,gbm,0,12,auprc,0.0078217714153286
65,65.0,65.0,65.0,new_celiac,new_celiac,count,gbm,0,12,brier,0.4933683098878292
66,66.0,66.0,66.0,new_celiac,new_celiac,count,gbm,1,12,auroc,0.5680426645896888
