,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
0,0,0.0,0.0,0.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,0,-1,auroc,0.6989032192545952
1,1,1.0,1.0,1.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,0,-1,auprc,0.257952042391255
2,2,2.0,2.0,2.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,0,-1,brier,0.11184499281717
3,3,3.0,3.0,3.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,0,1,auroc,0.5071950847974003
4,4,4.0,4.0,4.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,0,1,auprc,0.1323015711726454
5,5,5.0,5.0,5.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,0,1,brier,0.3074836827165554
6,6,6.0,6.0,6.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,1,1,auroc,0.4396440540266071
7,7,7.0,7.0,7.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,1,1,auprc,0.1191625172603355
8,8,8.0,8.0,8.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,1,1,brier,0.5466987153949512
9,9,9.0,9.0,9.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,2,1,auroc,0.4928049152025997
10,10,10.0,10.0,10.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,2,1,auprc,0.1289952000479074
11,11,11.0,11.0,11.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,2,1,brier,0.5670714242219574
12,12,12.0,12.0,12.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,3,1,auroc,0.4396440540266071
13,13,13.0,13.0,13.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,3,1,auprc,0.1191625172603355
14,14,14.0,14.0,14.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,3,1,brier,0.5466987153949512
15,15,15.0,15.0,15.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,4,1,auroc,0.4928049152025997
16,16,16.0,16.0,16.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,4,1,auprc,0.1289952000479074
17,17,17.0,17.0,17.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,4,1,brier,0.5670714242219574
18,18,18.0,18.0,18.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,0,2,auroc,0.5071950847974003
19,19,19.0,19.0,19.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,0,2,auprc,0.1323015711726454
20,20,20.0,20.0,20.0,new_hyperlipidemia,new_hyperlipidemia,count,gbm,0,2,brier,0.3074836827165557
