,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
0,0.0,0.0,0.0,new_hypertension,new_hypertension,count,gbm,0,-1,auroc,0.6368825862276168
1,1.0,1.0,1.0,new_hypertension,new_hypertension,count,gbm,0,-1,auprc,0.2214836698999808
2,2.0,2.0,2.0,new_hypertension,new_hypertension,count,gbm,0,-1,brier,0.1258401115816975
3,3.0,3.0,3.0,new_hypertension,new_hypertension,count,gbm,0,1,auroc,0.520890918559468
4,4.0,4.0,4.0,new_hypertension,new_hypertension,count,gbm,0,1,auprc,0.1319215492356447
5,5.0,5.0,5.0,new_hypertension,new_hypertension,count,gbm,0,1,brier,0.2246837031365043
6,6.0,6.0,6.0,new_hypertension,new_hypertension,count,gbm,1,1,auroc,0.5745589186281411
7,7.0,7.0,7.0,new_hypertension,new_hypertension,count,gbm,1,1,auprc,0.1455145746775736
8,8.0,8.0,8.0,new_hypertension,new_hypertension,count,gbm,1,1,brier,0.6072150325378317
9,9.0,9.0,9.0,new_hypertension,new_hypertension,count,gbm,2,1,auroc,0.396449602554638
10,10.0,10.0,10.0,new_hypertension,new_hypertension,count,gbm,2,1,auprc,0.1098632256420125
11,11.0,11.0,11.0,new_hypertension,new_hypertension,count,gbm,2,1,brier,0.575566757083765
12,12.0,12.0,12.0,new_hypertension,new_hypertension,count,gbm,3,1,auroc,0.4728512484190888
13,13.0,13.0,13.0,new_hypertension,new_hypertension,count,gbm,3,1,auprc,0.1220993785921643
14,14.0,14.0,14.0,new_hypertension,new_hypertension,count,gbm,3,1,brier,0.232251769005955
15,15.0,15.0,15.0,new_hypertension,new_hypertension,count,gbm,4,1,auroc,0.4648079157152586
16,16.0,16.0,16.0,new_hypertension,new_hypertension,count,gbm,4,1,auprc,0.12413464794102
17,17.0,17.0,17.0,new_hypertension,new_hypertension,count,gbm,4,1,brier,0.1834033438485912
18,18.0,18.0,18.0,new_hypertension,new_hypertension,count,gbm,0,2,auroc,0.5098917826955321
19,19.0,19.0,19.0,new_hypertension,new_hypertension,count,gbm,0,2,auprc,0.1287507820634195
20,20.0,20.0,20.0,new_hypertension,new_hypertension,count,gbm,0,2,brier,0.2494519187092523
21,21.0,21.0,21.0,new_hypertension,new_hypertension,count,gbm,1,2,auroc,0.5633852387247412
22,22.0,22.0,22.0,new_hypertension,new_hypertension,count,gbm,1,2,auprc,0.1423387827338992
23,23.0,23.0,23.0,new_hypertension,new_hypertension,count,gbm,1,2,brier,0.6037750025971731
