,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
0,0,0.0,0.0,0.0,new_lupus,new_lupus,count,gbm,0,-1,auroc,0.7032163742690059
1,1,1.0,1.0,1.0,new_lupus,new_lupus,count,gbm,0,-1,auprc,0.1792738499667748
2,2,2.0,2.0,2.0,new_lupus,new_lupus,count,gbm,0,-1,brier,0.0079445654474362
3,3,3.0,3.0,3.0,new_lupus,new_lupus,count,gbm,0,1,auroc,0.5744376968061178
4,4,4.0,4.0,4.0,new_lupus,new_lupus,count,gbm,0,1,auprc,0.0106186020512994
5,5,5.0,5.0,5.0,new_lupus,new_lupus,count,gbm,0,1,brier,0.4370846173272436
6,6,6.0,6.0,6.0,new_lupus,new_lupus,count,gbm,1,1,auroc,0.4089068825910931
7,7,7.0,7.0,7.0,new_lupus,new_lupus,count,gbm,1,1,auprc,0.0089166295140436
8,8,8.0,8.0,8.0,new_lupus,new_lupus,count,gbm,1,1,brier,0.1685175076452742
9,9,9.0,9.0,9.0,new_lupus,new_lupus,count,gbm,2,1,auroc,0.4089068825910931
10,10,10.0,10.0,10.0,new_lupus,new_lupus,count,gbm,2,1,auprc,0.0089166295140436
11,11,11.0,11.0,11.0,new_lupus,new_lupus,count,gbm,2,1,brier,0.1685175076452742
12,12,12.0,12.0,12.0,new_lupus,new_lupus,count,gbm,3,1,auroc,0.5744376968061178
13,13,13.0,13.0,13.0,new_lupus,new_lupus,count,gbm,3,1,auprc,0.0106186020512994
14,14,14.0,14.0,14.0,new_lupus,new_lupus,count,gbm,3,1,brier,0.4370846173272436
15,15,15.0,15.0,15.0,new_lupus,new_lupus,count,gbm,4,1,auroc,0.4255623031938822
16,16,16.0,16.0,16.0,new_lupus,new_lupus,count,gbm,4,1,auprc,0.0079911496859205
17,17,17.0,17.0,17.0,new_lupus,new_lupus,count,gbm,4,1,brier,0.4374704896112694
18,18,18.0,18.0,18.0,new_lupus,new_lupus,count,gbm,0,2,auroc,0.5744376968061178
19,19,19.0,19.0,19.0,new_lupus,new_lupus,count,gbm,0,2,auprc,0.0106186020512994
20,20,20.0,20.0,20.0,new_lupus,new_lupus,count,gbm,0,2,brier,0.437084617327244
21,21,21.0,21.0,21.0,new_lupus,new_lupus,count,gbm,1,2,auroc,0.5154295996401259
22,22,22.0,22.0,22.0,new_lupus,new_lupus,count,gbm,1,2,auprc,0.0092385667691296
23,23,23.0,23.0,23.0,new_lupus,new_lupus,count,gbm,1,2,brier,0.1557837222724222
24,24,24.0,24.0,24.0,new_lupus,new_lupus,count,gbm,2,2,auroc,0.5013832658569501
25,25,25.0,25.0,25.0,new_lupus,new_lupus,count,gbm,2,2,auprc,0.008942496151549
26,26,26.0,26.0,26.0,new_lupus,new_lupus,count,gbm,2,2,brier,0.0523699501535029
27,27,27.0,27.0,27.0,new_lupus,new_lupus,count,gbm,3,2,auroc,0.5910931174089069
28,28,28.0,28.0,28.0,new_lupus,new_lupus,count,gbm,3,2,auprc,0.0108813928182807
29,29,29.0,29.0,29.0,new_lupus,new_lupus,count,gbm,3,2,brier,0.7060375992932395
30,30,30.0,30.0,30.0,new_lupus,new_lupus,count,gbm,4,2,auroc,0.5910931174089069
31,31,31.0,31.0,31.0,new_lupus,new_lupus,count,gbm,4,2,auprc,0.0108813928182807
32,32,32.0,32.0,32.0,new_lupus,new_lupus,count,gbm,4,2,brier,0.7060375992932395
33,33,33.0,33.0,33.0,new_lupus,new_lupus,count,gbm,0,4,auroc,0.6288798920377867
34,34,34.0,34.0,34.0,new_lupus,new_lupus,count,gbm,0,4,auprc,0.0119760479041916
35,35,35.0,35.0,35.0,new_lupus,new_lupus,count,gbm,0,4,brier,0.7352915122116094
